  TIME                ENSTROPHY           KE
  0.000000000000E+00  0.375000003355E+00  0.125000000000E+00
  0.400000000000E-01  0.375006240150E+00  0.124981250364E+00
  0.800000000000E-01  0.375137441298E+00  0.124962497293E+00
  0.120000000000E+00  0.375393728469E+00  0.124943734535E+00
  0.160000000000E+00  0.375775402907E+00  0.124924955829E+00
  0.200000000000E+00  0.376282943697E+00  0.124906154896E+00
  0.240000000000E+00  0.376917005642E+00  0.124887325425E+00
  0.280000000000E+00  0.377678416809E+00  0.124868461072E+00
  0.320000000000E+00  0.378568175741E+00  0.124849555444E+00
  0.360000000000E+00  0.379587448399E+00  0.124830602095E+00
  0.400000000000E+00  0.380737564857E+00  0.124811594518E+00
  0.440000000000E+00  0.382020015810E+00  0.124792526132E+00
  0.480000000000E+00  0.383436448930E+00  0.124773390282E+00
  0.520000000000E+00  0.384988665129E+00  0.124754180224E+00
  0.560000000000E+00  0.386678614769E+00  0.124734889120E+00
  0.600000000000E+00  0.388508393873E+00  0.124715510031E+00
  0.640000000000E+00  0.390480240383E+00  0.124696035912E+00
  0.680000000000E+00  0.392596530507E+00  0.124676459599E+00
  0.720000000000E+00  0.394859775184E+00  0.124656773809E+00
  0.760000000000E+00  0.397272616724E+00  0.124636971127E+00
  0.800000000000E+00  0.399837825626E+00  0.124617044007E+00
  0.840000000000E+00  0.402558297610E+00  0.124596984756E+00
  0.880000000000E+00  0.405437050878E+00  0.124576785538E+00
  0.920000000000E+00  0.408477223604E+00  0.124556438360E+00
  0.960000000000E+00  0.411682071671E+00  0.124535935070E+00
  0.100000000000E+01  0.415054966627E+00  0.124515267351E+00
  0.104000000000E+01  0.418599393869E+00  0.124494426714E+00
  0.108000000000E+01  0.422318951019E+00  0.124473404492E+00
  0.112000000000E+01  0.426217346485E+00  0.124452191837E+00
  0.116000000000E+01  0.430298398155E+00  0.124430779712E+00
  0.120000000000E+01  0.434566032212E+00  0.124409158887E+00
  0.124000000000E+01  0.439024282008E+00  0.124387319931E+00
  0.128000000000E+01  0.443677286975E+00  0.124365253212E+00
  0.132000000000E+01  0.448529291510E+00  0.124342948885E+00
  0.136000000000E+01  0.453584643809E+00  0.124320396892E+00
  0.140000000000E+01  0.458847794574E+00  0.124297586956E+00
  0.144000000000E+01  0.464323295581E+00  0.124274508573E+00
  0.148000000000E+01  0.470015798034E+00  0.124251151008E+00
  0.152000000000E+01  0.475930050686E+00  0.124227503295E+00
  0.156000000000E+01  0.482070897673E+00  0.124203554225E+00
  0.160000000000E+01  0.488443276037E+00  0.124179292345E+00
  0.164000000000E+01  0.495052212895E+00  0.124154705952E+00
  0.168000000000E+01  0.501902822251E+00  0.124129783092E+00
  0.172000000000E+01  0.509000301408E+00  0.124104511551E+00
  0.176000000000E+01  0.516349926993E+00  0.124078878854E+00
  0.180000000000E+01  0.523957050568E+00  0.124052872260E+00
  0.184000000000E+01  0.531827093862E+00  0.124026478758E+00
  0.188000000000E+01  0.539965543617E+00  0.123999685064E+00
  0.192000000000E+01  0.548377946100E+00  0.123972477619E+00
  0.196000000000E+01  0.557069901333E+00  0.123944842585E+00
  0.200000000000E+01  0.566047057128E+00  0.123916765841E+00
  0.204000000000E+01  0.575315103050E+00  0.123888232982E+00
  0.208000000000E+01  0.584879764488E+00  0.123859229318E+00
  0.212000000000E+01  0.594746797071E+00  0.123829739870E+00
  0.216000000000E+01  0.604921981760E+00  0.123799749368E+00
  0.220000000000E+01  0.615411121023E+00  0.123769242253E+00
  0.224000000000E+01  0.626220036638E+00  0.123738202668E+00
  0.228000000000E+01  0.637354569763E+00  0.123706614467E+00
  0.232000000000E+01  0.648820584077E+00  0.123674461202E+00
  0.236000000000E+01  0.660623972919E+00  0.123641726130E+00
  0.240000000000E+01  0.672770671488E+00  0.123608392204E+00
  0.244000000000E+01  0.685266675338E+00  0.123574442071E+00
  0.248000000000E+01  0.698118066489E+00  0.123539858072E+00
  0.252000000000E+01  0.711331048650E+00  0.123504622227E+00
  0.256000000000E+01  0.724911993109E+00  0.123468716234E+00
  0.260000000000E+01  0.738867496980E+00  0.123432121457E+00
  0.264000000000E+01  0.753204455554E+00  0.123394818909E+00
  0.268000000000E+01  0.767930150585E+00  0.123356789238E+00
  0.272000000000E+01  0.783052356415E+00  0.123318012702E+00
  0.276000000000E+01  0.798579465882E+00  0.123278469145E+00
  0.280000000000E+01  0.814520638082E+00  0.123238137959E+00
